ANIMAL INGRESADO,MOTIVO,AÑO
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Pudu,Ataque de perro,2022
Pudu,Ataque de perro,2022
Pudu,Ataque de perro,2022
Pudu,Ataque de perro,2022
Pudu,Ataque de perro,2022
Pudu,Ataque de perro,2022
Pudu,Ataque de perro,2022
Pudu,Ataque de perro,2022
Pudu,Ataque de perro,2022
Pudu,Ataque de perro,2022
Pudu,Ataque de perro,2022
Pudu,Ataque de perro,2022
Pudu,Ataque de perro,2022
Pudu,Ataque de perro,2022
Pudu,Ataque de perro,2022
Pudu,Ataque de perro,2022
Pudu,Ataque de perro,2022
Pudu,Ataque de perro,2022
Pudu,Ataque de perro,2022
Pudu,Ataque de perro,2022
Pudu,Ataque de perro,2022
Pudu,Ataque de perro,2022
Pudu,Ataque de perro,2022
Pudu,Ataque de perro,2022
Pudu,Ataque de perro,2022
Pudu,Ataque de perro,2022
Pudu,Ataque de perro,2022
Pudu,Ataque de perro,2022
Pudu,Ataque de perro,2022
Pudu,Ataque de perro,2022
Pudu,Ataque de perro,2022
Pudu,Ataque de perro,2022
Pudu,Ataque de perro,2022
Pudu,Ataque de perro,2022
Pudu,Ataque de perro,2022
Pudu,Otro,2022
Pudu,Otro,2022
Pudu,Otro,2022
Pudu,Otro,2022
Pudu,Otro,2022
Pudu,Otro,2022
Pudu,Otro,2022
Pudu,Otro,2022
Pudu,Otro,2022
Pudu,Otro,2022
Pudu,Otro,2022
Pudu,Otro,2022
Pudu,Otro,2022
Pudu,Otro,2022
Pudu,Otro,2022
Pudu,Otro,2022
Pudu,Otro,2022
Pudu,Otro,2022
Pudu,Otro,2022
Pudu,Otro,2022
Pudu,Otro,2022
Pudu,Otro,2022
Pudu,Otro,2022
Pudu,Otro,2022
Pudu,Otro,2022
Otro,Ataque de perro,2022
Otro,Ataque de perro,2022
Otro,Ataque de perro,2022
Otro,Ataque de perro,2022
Otro,Ataque de perro,2022
Otro,Ataque de perro,2022
Otro,Ataque de perro,2022
Otro,Ataque de perro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Otro,Otro,2022
Pudu,Ataque de perro,2023
Pudu,Ataque de perro,2023
Pudu,Ataque de perro,2023
Pudu,Ataque de perro,2023
Pudu,Ataque de perro,2023
Pudu,Ataque de perro,2023
Pudu,Ataque de perro,2023
Pudu,Ataque de perro,2023
Pudu,Ataque de perro,2023
Pudu,Ataque de perro,2023
Pudu,Ataque de perro,2023
Pudu,Ataque de perro,2023
Pudu,Ataque de perro,2023
Pudu,Ataque de perro,2023
Pudu,Ataque de perro,2023
Pudu,Ataque de perro,2023
Pudu,Ataque de perro,2023
Pudu,Ataque de perro,2023
Pudu,Ataque de perro,2023
Pudu,Ataque de perro,2023
Pudu,Ataque de perro,2023
Pudu,Ataque de perro,2023
Pudu,Ataque de perro,2023
Pudu,Ataque de perro,2023
Pudu,Otro,2023
Pudu,Otro,2023
Pudu,Otro,2023
Pudu,Otro,2023
Pudu,Otro,2023
Pudu,Otro,2023
Pudu,Otro,2023
Pudu,Otro,2023
Pudu,Otro,2023
Pudu,Otro,2023
Pudu,Otro,2023
Pudu,Otro,2023
Pudu,Otro,2023
Pudu,Otro,2023
Pudu,Otro,2023
Pudu,Otro,2023
Pudu,Otro,2023
Pudu,Otro,2023
Pudu,Otro,2023
Pudu,Otro,2023
Pudu,Otro,2023
Pudu,Otro,2023
Pudu,Otro,2023
Pudu,Otro,2023
Otro,Ataque de perro,2023
Otro,Ataque de perro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
Otro,Otro,2023
